date,leading_cycle,kospi_credit,kosdaq_credit
1996-04-03,100.29,3.55,1.52
1996-04-04,100.23,3.53,1.46
1996-04-05,100.25,3.57,1.53
1996-04-06,100.23,3.58,1.61
1996-04-07,100.25,3.54,1.52
1996-04-08,100.25,3.5,1.54
1996-04-09,100.25,3.66,1.59
1996-04-10,100.28,3.53,1.58
1996-04-11,100.22,3.59,1.57
1996-04-12,100.23,3.67,1.57
1996-04-13,100.2,3.6,1.54
1996-04-14,100.26,3.6,1.57
1996-04-15,100.2,3.52,1.58
1996-04-16,100.3,3.67,1.63
1996-04-17,100.2,3.62,1.48
1996-04-18,100.31,3.59,1.51
1996-04-19,100.32,3.61,1.48
1996-04-20,100.27,3.55,1.56
1996-04-21,100.25,3.65,1.5
1996-04-22,100.27,3.68,1.53
1996-04-23,100.27,3.6,1.53
1996-04-24,100.29,3.59,1.52
1996-04-25,100.32,3.63,1.56
1996-04-26,100.25,3.55,1.61
1996-04-27,100.27,3.61,1.56
1996-04-28,100.29,3.59,1.6
1996-04-29,100.27,3.64,1.59
1996-04-30,100.27,3.55,1.53
1996-05-01,100.25,3.55,1.6
1996-05-02,100.27,3.68,1.66
1996-05-03,100.28,3.52,1.56
1996-05-04,100.28,3.53,1.56
1996-05-05,100.29,3.58,1.54
1996-05-06,100.26,3.69,1.57
1996-05-07,100.26,3.59,1.61
1996-05-08,100.26,3.63,1.61
1996-05-09,100.31,3.68,1.56
1996-05-10,100.32,3.57,1.56
1996-05-11,100.32,3.65,1.58
1996-05-12,100.25,3.64,1.56
1996-05-13,100.26,3.58,1.59
1996-05-14,100.23,3.63,1.59
1996-05-15,100.27,3.67,1.61
1996-05-16,100.27,3.59,1.61
1996-05-17,100.25,3.6,1.56
1996-05-18,100.3,3.63,1.59
1996-05-19,100.33,3.64,1.58
1996-05-20,100.26,3.66,1.61
1996-05-21,100.34,3.59,1.59
1996-05-22,100.3,3.63,1.59
1996-05-23,100.25,3.67,1.62
1996-05-24,100.34,3.75,1.58
1996-05-25,100.3,3.63,1.67
1996-05-26,100.25,3.66,1.54
1996-05-27,100.23,3.54,1.54
1996-05-28,100.34,3.6,1.59
1996-05-29,100.27,3.67,1.56
1996-05-30,100.35,3.59,1.57
1996-05-31,100.32,3.65,1.66
1996-06-01,100.32,3.59,1.58
1996-06-02,100.3,3.68,1.62
1996-06-03,100.31,3.69,1.59
1996-06-04,100.31,3.66,1.67
1996-06-05,100.32,3.64,1.57
1996-06-06,100.34,3.63,1.62
1996-06-07,100.26,3.71,1.56
1996-06-08,100.3,3.71,1.56
1996-06-09,100.32,3.66,1.57
1996-06-10,100.37,3.74,1.54
1996-06-11,100.28,3.7,1.56
1996-06-12,100.32,3.67,1.65
1996-06-13,100.32,3.67,1.59
1996-06-14,100.37,3.64,1.63
1996-06-15,100.32,3.68,1.61
1996-06-16,100.33,3.62,1.65
1996-06-17,100.38,3.69,1.65
1996-06-18,100.36,3.72,1.64
1996-06-19,100.34,3.72,1.63
1996-06-20,100.31,3.68,1.55
1996-06-21,100.34,3.7,1.68
1996-06-22,100.35,3.73,1.63
1996-06-23,100.31,3.61,1.59
1996-06-24,100.3,3.72,1.62
1996-06-25,100.36,3.69,1.68
1996-06-26,100.38,3.66,1.62
1996-06-27,100.33,3.61,1.66
1996-06-28,100.39,3.69,1.62
1996-06-29,100.38,3.58,1.65
1996-06-30,100.36,3.67,1.7
1996-07-01,100.38,3.69,1.64
1996-07-02,100.34,3.68,1.59
1996-07-03,100.4,3.75,1.68
1996-07-04,100.33,3.81,1.73
1996-07-05,100.37,3.66,1.61
1996-07-06,100.37,3.66,1.65
1996-07-07,100.4,3.64,1.73
1996-07-08,100.41,3.65,1.6
1996-07-09,100.36,3.66,1.64
1996-07-10,100.29,3.7,1.73
1996-07-11,100.34,3.7,1.6
1996-07-12,100.39,3.71,1.73
1996-07-13,100.38,3.7,1.68
1996-07-14,100.36,3.66,1.67
1996-07-15,100.37,3.73,1.68
1996-07-16,100.36,3.75,1.73
1996-07-17,100.35,3.82,1.65
1996-07-18,100.36,3.85,1.67
1996-07-19,100.42,3.77,1.6
1996-07-20,100.39,3.71,1.61
1996-07-21,100.33,3.74,1.69
1996-07-22,100.4,3.72,1.64
1996-07-23,100.36,3.71,1.63
1996-07-24,100.38,3.74,1.64
1996-07-25,100.38,3.71,1.67
1996-07-26,100.41,3.76,1.7
1996-07-27,100.34,3.73,1.69
1996-07-28,100.42,3.67,1.69
1996-07-29,100.43,3.74,1.68
1996-07-30,100.41,3.77,1.71
1996-07-31,100.4,3.76,1.65
1996-08-01,100.4,3.82,1.68
1996-08-02,100.4,3.74,1.72
1996-08-03,100.38,3.81,1.65
1996-08-04,100.38,3.77,1.69
1996-08-05,100.42,3.82,1.67
1996-08-06,100.42,3.72,1.74
1996-08-07,100.43,3.8,1.7
1996-08-08,100.39,3.76,1.71
1996-08-09,100.41,3.78,1.64
1996-08-10,100.42,3.74,1.65
1996-08-11,100.41,3.69,1.73
1996-08-12,100.45,3.78,1.66
1996-08-13,100.39,3.77,1.6
1996-08-14,100.43,3.82,1.69
1996-08-15,100.41,3.8,1.72
1996-08-16,100.46,3.79,1.68
1996-08-17,100.41,3.8,1.77
1996-08-18,100.42,3.74,1.67
1996-08-19,100.37,3.81,1.66
1996-08-20,100.4,3.7,1.67
1996-08-21,100.45,3.73,1.64
1996-08-22,100.44,3.78,1.73
1996-08-23,100.46,3.8,1.66
1996-08-24,100.43,3.83,1.69
1996-08-25,100.4,3.86,1.7
1996-08-26,100.43,3.81,1.76
1996-08-27,100.45,3.79,1.75
1996-08-28,100.51,3.88,1.75
1996-08-29,100.41,4.0,1.68
1996-08-30,100.44,3.78,1.79
1996-08-31,100.46,3.75,1.74
1996-09-01,100.47,3.8,1.68
1996-09-02,100.43,3.8,1.73
1996-09-03,100.44,3.86,1.69
1996-09-04,100.4,3.79,1.79
1996-09-05,100.44,3.95,1.75
1996-09-06,100.42,3.79,1.75
1996-09-07,100.43,3.95,1.7
1996-09-08,100.48,3.91,1.73
1996-09-09,100.43,3.82,1.76
1996-09-10,100.49,3.84,1.69
1996-09-11,100.47,3.81,1.66
1996-09-12,100.45,3.77,1.77
1996-09-13,100.53,3.94,1.72
1996-09-14,100.46,3.88,1.79
1996-09-15,100.46,3.84,1.84
1996-09-16,100.47,3.83,1.76
1996-09-17,100.5,3.8,1.74
1996-09-18,100.44,3.84,1.83
1996-09-19,100.5,3.85,1.72
1996-09-20,100.47,3.91,1.73
1996-09-21,100.53,3.79,1.75
1996-09-22,100.54,3.76,1.81
1996-09-23,100.43,3.86,1.75
1996-09-24,100.51,3.71,1.69
1996-09-25,100.47,3.87,1.73
1996-09-26,100.49,3.81,1.75
1996-09-27,100.47,3.89,1.79
1996-09-28,100.54,3.84,1.76
1996-09-29,100.5,3.86,1.77
1996-09-30,100.45,3.9,1.73
1996-10-01,100.47,3.8,1.82
1996-10-02,100.5,3.94,1.78
1996-10-03,100.45,3.83,1.81
1996-10-04,100.48,3.83,1.77
1996-10-05,100.5,3.84,1.77
1996-10-06,100.49,3.76,1.8
1996-10-07,100.49,3.96,1.74
1996-10-08,100.46,3.95,1.72
1996-10-09,100.49,3.93,1.77
1996-10-10,100.47,3.91,1.78
1996-10-11,100.56,3.93,1.91
1996-10-12,100.47,3.9,1.75
1996-10-13,100.56,3.95,1.82
1996-10-14,100.5,3.87,1.71
1996-10-15,100.58,3.94,1.78
1996-10-16,100.55,3.95,1.83
1996-10-17,100.48,3.88,1.8
1996-10-18,100.54,3.96,1.76
1996-10-19,100.53,4.03,1.83
1996-10-20,100.56,3.92,1.83
1996-10-21,100.59,3.93,1.85
1996-10-22,100.51,3.95,1.84
1996-10-23,100.51,3.98,1.78
1996-10-24,100.51,3.93,1.88
1996-10-25,100.55,3.98,1.78
1996-10-26,100.54,3.87,1.79
1996-10-27,100.57,3.93,1.87
1996-10-28,100.54,3.93,1.86
1996-10-29,100.53,3.86,1.86
1996-10-30,100.56,3.83,1.82
1996-10-31,100.54,4.03,1.79
1996-11-01,100.53,3.9,1.77
1996-11-02,100.53,3.87,1.78
1996-11-03,100.51,3.87,1.76
1996-11-04,100.54,3.92,1.77
1996-11-05,100.57,3.95,1.81
1996-11-06,100.55,4.03,1.83
1996-11-07,100.58,3.83,1.8
1996-11-08,100.5,3.94,1.84
1996-11-09,100.54,3.98,1.79
1996-11-10,100.58,3.88,1.82
1996-11-11,100.58,3.99,1.83
1996-11-12,100.63,3.94,1.81
1996-11-13,100.49,4.06,1.82
1996-11-14,100.54,4.03,1.88
1996-11-15,100.58,3.9,1.85
1996-11-16,100.56,3.91,1.88
1996-11-17,100.51,4.0,1.86
1996-11-18,100.64,3.99,1.76
1996-11-19,100.56,3.98,1.86
1996-11-20,100.61,3.88,1.83
1996-11-21,100.61,4.06,1.92
1996-11-22,100.57,4.04,1.91
1996-11-23,100.62,4.02,1.88
1996-11-24,100.56,3.92,1.89
1996-11-25,100.58,3.99,1.83
1996-11-26,100.58,4.0,1.81
1996-11-27,100.6,4.01,1.85
1996-11-28,100.57,4.03,1.93
1996-11-29,100.58,4.06,1.89
1996-11-30,100.52,3.96,1.83
1996-12-01,100.62,4.01,1.88
1996-12-02,100.62,3.96,1.83
1996-12-03,100.57,4.0,1.86
1996-12-04,100.61,3.97,1.9
1996-12-05,100.63,4.09,1.89
1996-12-06,100.61,4.04,1.89
1996-12-07,100.59,4.08,1.93
1996-12-08,100.67,4.02,1.88
1996-12-09,100.62,4.02,1.89
1996-12-10,100.61,4.01,1.94
1996-12-11,100.62,4.02,1.91
1996-12-12,100.62,4.04,1.87
1996-12-13,100.58,4.02,1.83
1996-12-14,100.63,3.97,1.91
1996-12-15,100.64,4.04,1.87
1996-12-16,100.64,3.93,1.83
1996-12-17,100.62,4.05,1.88
1996-12-18,100.6,4.04,1.86
1996-12-19,100.6,4.05,1.87
1996-12-20,100.66,4.07,1.91
1996-12-21,100.64,3.99,1.85
1996-12-22,100.59,4.18,1.84
1996-12-23,100.63,4.02,1.87
1996-12-24,100.62,3.95,1.85
1996-12-25,100.59,4.04,1.86
1996-12-26,100.62,4.06,1.87
1996-12-27,100.67,4.03,1.9
1996-12-28,100.6,4.08,1.88
1996-12-29,100.65,4.07,1.89
1996-12-30,100.65,4.03,1.95
1996-12-31,100.67,4.08,1.85
1997-01-01,100.61,4.02,1.89
1997-01-02,100.66,4.01,1.95
1997-01-03,100.65,3.96,1.88
1997-01-04,100.57,4.02,1.88
1997-01-05,100.63,4.05,1.89
1997-01-06,100.64,4.14,1.95
1997-01-07,100.62,4.13,1.84
1997-01-08,100.63,4.14,1.82
1997-01-09,100.68,4.01,1.9
1997-01-10,100.65,4.16,1.88
1997-01-11,100.66,4.1,1.9
1997-01-12,100.64,4.07,1.91
1997-01-13,100.69,4.03,1.89
1997-01-14,100.67,4.07,1.9
1997-01-15,100.67,4.04,1.88
1997-01-16,100.68,4.03,1.96
1997-01-17,100.68,4.02,1.93
1997-01-18,100.68,4.12,1.96
1997-01-19,100.66,4.05,1.89
1997-01-20,100.64,4.05,1.93
1997-01-21,100.68,4.06,1.89
1997-01-22,100.69,4.06,1.88
1997-01-23,100.67,4.08,1.88
1997-01-24,100.7,4.13,1.92
1997-01-25,100.68,4.12,1.92
1997-01-26,100.71,4.18,1.93
1997-01-27,100.7,4.14,1.91
1997-01-28,100.65,4.14,1.86
1997-01-29,100.74,4.14,1.94
1997-01-30,100.69,4.19,1.89
1997-01-31,100.65,4.07,1.92
1997-02-01,100.66,4.11,1.94
1997-02-02,100.67,4.19,1.88
1997-02-03,100.65,4.13,1.93
1997-02-04,100.71,4.08,1.89
1997-02-05,100.68,4.08,1.96
1997-02-06,100.68,4.15,1.96
1997-02-07,100.73,4.16,1.97
1997-02-08,100.72,4.09,1.93
1997-02-09,100.64,4.13,1.91
1997-02-10,100.71,4.14,1.89
1997-02-11,100.67,4.1,1.92
1997-02-12,100.71,4.06,1.94
1997-02-13,100.65,4.01,1.97
1997-02-14,100.67,4.09,1.89
1997-02-15,100.66,4.1,1.93
1997-02-16,100.74,4.15,1.94
1997-02-17,100.73,4.18,1.96
1997-02-18,100.7,4.18,2.02
1997-02-19,100.73,4.22,1.99
1997-02-20,100.74,4.08,1.91
1997-02-21,100.71,4.05,1.93
1997-02-22,100.74,4.1,1.97
1997-02-23,100.68,4.11,1.99
1997-02-24,100.72,4.15,2.02
1997-02-25,100.76,4.09,2.01
1997-02-26,100.7,4.14,1.96
1997-02-27,100.75,4.08,1.97
1997-02-28,100.74,4.18,1.95
1997-03-01,100.75,4.11,2.0
1997-03-02,100.74,4.07,1.98
1997-03-03,100.73,4.13,1.93
1997-03-04,100.72,4.07,2.03
1997-03-05,100.69,4.11,2.01
1997-03-06,100.75,4.18,2.02
1997-03-07,100.72,4.1,2.0
1997-03-08,100.76,4.13,1.91
1997-03-09,100.77,4.18,1.91
1997-03-10,100.76,4.08,1.95
1997-03-11,100.7,4.12,1.93
1997-03-12,100.72,4.19,1.98
1997-03-13,100.76,4.21,1.95
1997-03-14,100.74,4.18,2.04
1997-03-15,100.77,4.23,2.01
1997-03-16,100.77,4.07,2.01
1997-03-17,100.75,4.16,1.95
1997-03-18,100.73,4.18,2.01
1997-03-19,100.7,4.17,1.95
1997-03-20,100.72,4.18,1.96
1997-03-21,100.73,4.12,1.98
1997-03-22,100.75,4.11,1.94
1997-03-23,100.74,4.19,1.93
1997-03-24,100.76,4.12,2.08
1997-03-25,100.72,4.13,1.98
1997-03-26,100.72,4.21,2.05
1997-03-27,100.74,4.18,1.96
1997-03-28,100.75,4.24,2.01
1997-03-29,100.73,4.25,2.03
1997-03-30,100.77,4.14,1.98
1997-03-31,100.73,4.2,1.97
1997-04-01,100.69,4.22,1.99
1997-04-02,100.79,4.17,1.99
1997-04-03,100.79,4.19,1.99
1997-04-04,100.85,4.17,1.99
1997-04-05,100.81,4.14,1.94
1997-04-06,100.72,4.2,2.01
1997-04-07,100.78,4.11,2.02
1997-04-08,100.8,4.17,1.99
1997-04-09,100.78,4.2,2.01
1997-04-10,100.73,4.17,1.94
1997-04-11,100.78,4.21,1.98
1997-04-12,100.77,4.1,2.02
1997-04-13,100.75,4.19,2.03
1997-04-14,100.74,4.24,1.99
1997-04-15,100.77,4.21,1.94
1997-04-16,100.79,4.19,2.03
1997-04-17,100.76,4.17,2.0
1997-04-18,100.77,4.13,1.98
1997-04-19,100.81,4.18,1.96
1997-04-20,100.79,4.09,1.91
1997-04-21,100.77,4.2,2.0
1997-04-22,100.75,4.18,1.94
1997-04-23,100.78,4.11,1.99
1997-04-24,100.78,4.1,1.97
1997-04-25,100.8,4.27,1.93
1997-04-26,100.79,4.13,1.94
1997-04-27,100.82,4.22,1.96
1997-04-28,100.78,4.22,2.0
1997-04-29,100.85,4.22,1.87
1997-04-30,100.77,4.16,1.99
1997-05-01,100.78,4.16,1.95
1997-05-02,100.82,4.22,1.97
1997-05-03,100.8,4.23,2.05
1997-05-04,100.75,4.23,1.97
1997-05-05,100.82,4.18,1.91
1997-05-06,100.78,4.11,1.99
1997-05-07,100.78,4.18,1.94
1997-05-08,100.75,4.15,1.99
1997-05-09,100.82,4.23,1.98
1997-05-10,100.82,4.13,2.02
1997-05-11,100.78,4.21,2.02
1997-05-12,100.77,4.24,2.0
1997-05-13,100.86,4.18,2.05
1997-05-14,100.81,4.14,2.05
1997-05-15,100.76,4.09,2.03
1997-05-16,100.82,4.2,1.99
1997-05-17,100.84,4.23,1.97
1997-05-18,100.81,4.14,1.98
1997-05-19,100.76,4.09,1.95
1997-05-20,100.83,4.14,1.98
1997-05-21,100.76,4.24,2.0
1997-05-22,100.81,4.19,1.95
1997-05-23,100.76,4.24,2.0
1997-05-24,100.81,4.04,2.04
1997-05-25,100.78,4.31,1.98
1997-05-26,100.79,4.23,1.96
1997-05-27,100.82,4.17,2.05
1997-05-28,100.82,4.22,1.97
1997-05-29,100.79,4.21,1.92
1997-05-30,100.78,4.25,1.95
1997-05-31,100.83,4.17,2.01
1997-06-01,100.76,4.22,2.02
1997-06-02,100.83,4.27,2.05
1997-06-03,100.8,4.14,2.05
1997-06-04,100.76,4.18,2.03
1997-06-05,100.81,4.28,2.0
1997-06-06,100.75,4.18,2.01
1997-06-07,100.79,4.27,1.99
1997-06-08,100.75,4.22,1.95
1997-06-09,100.85,4.21,1.94
1997-06-10,100.83,4.31,1.92
1997-06-11,100.82,4.22,2.0
1997-06-12,100.81,4.22,1.97
1997-06-13,100.84,4.12,2.07
1997-06-14,100.84,4.13,1.99
1997-06-15,100.84,4.16,1.99
1997-06-16,100.79,4.25,1.97
1997-06-17,100.8,4.21,1.98
1997-06-18,100.77,4.12,1.93
1997-06-19,100.76,4.09,1.96
1997-06-20,100.81,4.18,1.96
1997-06-21,100.77,4.13,1.93
1997-06-22,100.76,4.21,1.93
1997-06-23,100.8,4.14,2.08
1997-06-24,100.75,4.18,1.97
1997-06-25,100.78,4.18,1.99
1997-06-26,100.77,4.19,2.0
1997-06-27,100.84,4.13,2.04
1997-06-28,100.79,4.06,2.0
1997-06-29,100.8,4.11,2.01
1997-06-30,100.79,4.2,1.97
1997-07-01,100.82,4.18,1.99
1997-07-02,100.77,4.19,1.97
1997-07-03,100.86,4.17,2.0
1997-07-04,100.78,4.12,1.97
1997-07-05,100.76,4.08,1.96
1997-07-06,100.79,4.14,2.01
1997-07-07,100.78,4.16,1.95
1997-07-08,100.79,4.14,1.87
1997-07-09,100.79,4.09,1.92
1997-07-10,100.73,4.09,1.88
1997-07-11,100.81,4.1,1.88
1997-07-12,100.77,4.14,1.92
1997-07-13,100.77,4.08,1.94
1997-07-14,100.73,4.09,1.92
1997-07-15,100.87,4.08,1.92
1997-07-16,100.8,4.08,1.95
1997-07-17,100.74,4.16,1.91
1997-07-18,100.78,4.13,1.92
1997-07-19,100.76,4.1,1.96
1997-07-20,100.72,4.08,1.89
1997-07-21,100.73,4.03,1.97
1997-07-22,100.8,4.19,1.92
1997-07-23,100.72,4.0,1.98
1997-07-24,100.69,4.03,1.89
1997-07-25,100.79,3.99,1.96
1997-07-26,100.77,4.03,1.93
1997-07-27,100.68,4.02,1.9
1997-07-28,100.64,4.04,1.92
1997-07-29,100.66,3.95,1.87
1997-07-30,100.69,4.0,1.86
1997-07-31,100.67,4.02,1.87
1997-08-01,100.69,3.99,1.91
1997-08-02,100.68,4.04,1.89
1997-08-03,100.7,4.05,1.82
1997-08-04,100.7,4.07,1.84
1997-08-05,100.66,3.96,1.89
1997-08-06,100.67,3.93,1.92
1997-08-07,100.62,3.95,1.91
1997-08-08,100.69,3.93,1.89
1997-08-09,100.63,3.87,1.82
1997-08-10,100.58,3.92,1.84
1997-08-11,100.61,4.0,1.87
1997-08-12,100.68,3.91,1.88
1997-08-13,100.6,3.99,1.83
1997-08-14,100.61,3.99,1.81
1997-08-15,100.57,3.93,1.82
1997-08-16,100.54,3.99,1.82
1997-08-17,100.61,3.86,1.82
1997-08-18,100.57,3.87,1.79
1997-08-19,100.51,3.89,1.79
1997-08-20,100.53,3.75,1.79
1997-08-21,100.51,3.83,1.77
1997-08-22,100.48,3.86,1.87
1997-08-23,100.45,3.83,1.84
1997-08-24,100.49,3.83,1.78
1997-08-25,100.47,3.82,1.71
1997-08-26,100.44,3.72,1.84
1997-08-27,100.47,3.77,1.82
1997-08-28,100.51,3.77,1.83
1997-08-29,100.43,3.78,1.73
1997-08-30,100.39,3.77,1.68
1997-08-31,100.41,3.76,1.79
1997-09-01,100.37,3.92,1.7
1997-09-02,100.35,3.8,1.85
1997-09-03,100.33,3.85,1.72
1997-09-04,100.39,3.75,1.84
1997-09-05,100.39,3.71,1.86
1997-09-06,100.29,3.71,1.81
1997-09-07,100.29,3.69,1.74
1997-09-08,100.31,3.73,1.7
1997-09-09,100.29,3.73,1.78
1997-09-10,100.28,3.63,1.72
1997-09-11,100.24,3.75,1.65
1997-09-12,100.26,3.62,1.76
1997-09-13,100.25,3.68,1.72
1997-09-14,100.2,3.69,1.7
1997-09-15,100.22,3.65,1.59
1997-09-16,100.17,3.72,1.75
1997-09-17,100.17,3.62,1.67
1997-09-18,100.17,3.65,1.64
1997-09-19,100.16,3.67,1.64
1997-09-20,100.12,3.63,1.7
1997-09-21,100.1,3.57,1.64
1997-09-22,100.1,3.61,1.66
1997-09-23,100.04,3.52,1.68
1997-09-24,100.03,3.58,1.63
1997-09-25,100.03,3.56,1.71
1997-09-26,100.04,3.53,1.58
1997-09-27,100.03,3.59,1.66
1997-09-28,100.03,3.55,1.57
1997-09-29,99.98,3.54,1.65
1997-09-30,99.95,3.5,1.63
1997-10-01,99.99,3.55,1.64
1997-10-02,99.95,3.44,1.56
1997-10-03,99.91,3.53,1.61
1997-10-04,99.92,3.39,1.53
1997-10-05,99.92,3.46,1.53
1997-10-06,99.89,3.46,1.7
1997-10-07,99.89,3.45,1.57
1997-10-08,99.84,3.42,1.51
1997-10-09,99.84,3.43,1.45
1997-10-10,99.78,3.36,1.6
1997-10-11,99.78,3.47,1.49
1997-10-12,99.73,3.44,1.52
1997-10-13,99.71,3.35,1.51
1997-10-14,99.74,3.42,1.47
1997-10-15,99.7,3.36,1.53
1997-10-16,99.72,3.35,1.5
1997-10-17,99.64,3.24,1.5
1997-10-18,99.66,3.37,1.5
1997-10-19,99.71,3.31,1.49
1997-10-20,99.63,3.25,1.51
1997-10-21,99.54,3.33,1.5
1997-10-22,99.59,3.29,1.44
1997-10-23,99.54,3.35,1.5
1997-10-24,99.53,3.28,1.49
1997-10-25,99.59,3.31,1.49
1997-10-26,99.5,3.33,1.46
1997-10-27,99.46,3.17,1.43
1997-10-28,99.46,3.26,1.49
1997-10-29,99.49,3.21,1.48
1997-10-30,99.5,3.24,1.51
1997-10-31,99.37,3.15,1.41
1997-11-01,99.31,3.18,1.49
1997-11-02,99.36,3.17,1.39
1997-11-03,99.34,3.17,1.37
1997-11-04,99.37,3.05,1.43
1997-11-05,99.3,3.21,1.44
1997-11-06,99.24,3.0,1.36
1997-11-07,99.26,3.1,1.4
1997-11-08,99.28,3.03,1.32
1997-11-09,99.25,3.07,1.38
1997-11-10,99.2,3.07,1.44
1997-11-11,99.15,3.0,1.4
1997-11-12,99.23,3.04,1.31
1997-11-13,99.1,3.06,1.31
1997-11-14,99.21,3.15,1.36
1997-11-15,99.14,3.02,1.39
1997-11-16,99.1,3.01,1.39
1997-11-17,99.1,3.11,1.27
1997-11-18,99.04,2.94,1.36
1997-11-19,99.03,3.01,1.27
1997-11-20,99.02,3.08,1.38
1997-11-21,98.94,2.97,1.34
1997-11-22,98.97,2.89,1.33
1997-11-23,98.96,2.96,1.29
1997-11-24,99.01,2.88,1.27
1997-11-25,98.94,2.95,1.23
1997-11-26,98.94,2.83,1.28
1997-11-27,98.87,2.85,1.32
1997-11-28,98.79,2.84,1.23
1997-11-29,98.86,2.94,1.29
1997-11-30,98.86,2.74,1.26
1997-12-01,98.76,2.83,1.26
1997-12-02,98.78,2.9,1.16
1997-12-03,98.73,2.75,1.17
1997-12-04,98.77,2.82,1.29
1997-12-05,98.75,2.8,1.18
1997-12-06,98.73,2.75,1.17
1997-12-07,98.64,2.78,1.26
1997-12-08,98.66,2.83,1.21
1997-12-09,98.62,2.89,1.27
1997-12-10,98.62,2.7,1.13
1997-12-11,98.6,2.72,1.2
1997-12-12,98.58,2.74,1.22
1997-12-13,98.56,2.68,1.14
1997-12-14,98.55,2.65,1.2
1997-12-15,98.53,2.69,1.13
1997-12-16,98.44,2.62,1.09
1997-12-17,98.47,2.65,1.11
1997-12-18,98.47,2.66,1.14
1997-12-19,98.44,2.7,1.07
1997-12-20,98.43,2.54,1.1
1997-12-21,98.42,2.66,1.15
1997-12-22,98.37,2.68,1.06
1997-12-23,98.34,2.6,1.19
1997-12-24,98.36,2.64,1.08
1997-12-25,98.37,2.6,1.06
1997-12-26,98.35,2.5,1.06
1997-12-27,98.26,2.51,1.11
1997-12-28,98.25,2.55,1.16
1997-12-29,98.17,2.6,1.04
1997-12-30,98.25,2.62,1.16
1997-12-31,98.18,2.46,1.08
1998-01-01,98.16,2.42,1.09
1998-01-02,98.11,2.57,1.09
1998-01-03,98.11,2.48,1.04
